feature,modality,family,description,kind
v3__activity__met_last_first_third__range,activity,physiology,activity__met_last_first_third: within-person range; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__mad,activity,physiology,activity__met_last_first_third: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__cv,activity,physiology,activity__met_last_first_third: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__skew,activity,physiology,activity__met_last_first_third: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__kurtosis,activity,physiology,activity__met_last_first_third: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__q05,activity,physiology,activity__met_last_first_third: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__q95,activity,physiology,activity__met_last_first_third: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__rmssd,activity,physiology,activity__met_last_first_third: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__moving_range,activity,physiology,activity__met_last_first_third: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__lag1,activity,physiology,activity__met_last_first_third: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__trend,activity,physiology,activity__met_last_first_third: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__bin_variance4,activity,physiology,activity__met_last_first_third: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__bin_change4,activity,physiology,activity__met_last_first_third: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__stv7,activity,physiology,activity__met_last_first_third: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__rolling_cv7,activity,physiology,activity__met_last_first_third: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__rolling_range7,activity,physiology,activity__met_last_first_third: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__stv14,activity,physiology,activity__met_last_first_third: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__rolling_cv14,activity,physiology,activity__met_last_first_third: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__rolling_range14,activity,physiology,activity__met_last_first_third: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__stv28,activity,physiology,activity__met_last_first_third: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__rolling_cv28,activity,physiology,activity__met_last_first_third: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__rolling_range28,activity,physiology,activity__met_last_first_third: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__mean,activity,physiology,activity__met_cosinor_amplitude: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__std,activity,physiology,activity__met_cosinor_amplitude: within-person std; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__median,activity,physiology,activity__met_cosinor_amplitude: within-person median; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__trimmed_mean,activity,physiology,activity__met_cosinor_amplitude: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__mode,activity,physiology,activity__met_cosinor_amplitude: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__minimum,activity,physiology,activity__met_cosinor_amplitude: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__maximum,activity,physiology,activity__met_cosinor_amplitude: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__range,activity,physiology,activity__met_cosinor_amplitude: within-person range; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__mad,activity,physiology,activity__met_cosinor_amplitude: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__cv,activity,physiology,activity__met_cosinor_amplitude: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__skew,activity,physiology,activity__met_cosinor_amplitude: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__kurtosis,activity,physiology,activity__met_cosinor_amplitude: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__q05,activity,physiology,activity__met_cosinor_amplitude: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__q95,activity,physiology,activity__met_cosinor_amplitude: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__rmssd,activity,physiology,activity__met_cosinor_amplitude: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__moving_range,activity,physiology,activity__met_cosinor_amplitude: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__lag1,activity,physiology,activity__met_cosinor_amplitude: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__trend,activity,physiology,activity__met_cosinor_amplitude: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__bin_variance4,activity,physiology,activity__met_cosinor_amplitude: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__bin_change4,activity,physiology,activity__met_cosinor_amplitude: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__stv7,activity,physiology,activity__met_cosinor_amplitude: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__rolling_cv7,activity,physiology,activity__met_cosinor_amplitude: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__rolling_range7,activity,physiology,activity__met_cosinor_amplitude: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__stv14,activity,physiology,activity__met_cosinor_amplitude: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__rolling_cv14,activity,physiology,activity__met_cosinor_amplitude: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__rolling_range14,activity,physiology,activity__met_cosinor_amplitude: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__stv28,activity,physiology,activity__met_cosinor_amplitude: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__rolling_cv28,activity,physiology,activity__met_cosinor_amplitude: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_amplitude__rolling_range28,activity,physiology,activity__met_cosinor_amplitude: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_relative_amplitude__mean,activity,physiology,activity__met_cosinor_relative_amplitude: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_relative_amplitude__std,activity,physiology,activity__met_cosinor_relative_amplitude: within-person std; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_relative_amplitude__median,activity,physiology,activity__met_cosinor_relative_amplitude: within-person median; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_relative_amplitude__trimmed_mean,activity,physiology,activity__met_cosinor_relative_amplitude: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__met_cosinor_relative_amplitude__mode,activity,physiology,activity__met_cosinor_relative_amplitude: within-person mode; calendar windows where applicable,temporal_v3
